;;;;;;;;males;;;;females;;;males;females;offspring;;;;
;;;;;;;;white eyes;;;;red eyes;;;red eyes;white eyes;;;;;
vialNr;fliesScoredBy;vialsScoredBy;population;line;mother;cross;genotype;males_whiteeyes_RG;males_whiteeyes_G;males_whiteeyes_R;males_whiteeyes_N;females_redeyes_R;females_redeyes_NR;females_redeyes_unclear;males_redeyes_unclear;females_whiteeyes_NR;offspring_unclear;unhatched;dead;mediumLooks;notes
1;Nicky;Nicky;AK;5;3;2;CO;0;16;0;32;0;29;0;0;0;0;0;0;fresh;
2;Nicky;Nicky;KA;4;1;3;GD;8;0;17;1;21;1;0;0;0;0;8;1;fresh;
3;Nicky;Nicky;UM;6;5;5;GD;26;0;28;2;47;8;0;0;0;0;8;2;fresh;
4;Nicky;Nicky;RE;1;5;2;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;dead parent
5;Nicky;Nicky;MU;5;5;5;GD;1;0;0;0;4;2;0;0;0;0;0;0;fresh;
6;Nicky;Nicky;RE;3;1;3;GD;17;2;15;1;28;1;0;0;0;0;7;0;fresh;
7;Nicky;Nicky;MU;3;6;4;CO;0;4;0;6;0;6;0;0;0;0;1;0;fresh;
8;Nicky;Nicky;KA;1;1;1;CO;0;14;0;24;0;55;0;0;0;0;8;0;fresh;
9;Nicky;Nicky;UM;5;4;1;CO;0;28;0;25;0;45;0;0;0;0;0;0;brown;black larvae (30ish)
10;Nicky;Nicky;UM;1;4;2;CO;0;15;0;20;0;37;0;0;0;0;0;0;fresh;black larvae (5ish)
11;Nicky;Nicky;AK;3;3;5;CO;0;9;0;11;0;35;0;0;0;0;3;0;fresh;
12;Nicky;Nicky;MU;4;1;1;GD;8;0;8;2;26;1;0;0;0;0;0;0;fresh;
13;Nicky;Nicky;UM;1;1;2;GD;19;1;29;1;66;5;0;0;0;0;14;6;brown;black larvae (1ish), 5 dead flies still in sample
14;Nicky;Nicky;UM;6;5;2;CO;0;3;0;19;0;49;0;0;0;0;1;0;fresh;
15;Nicky;Nicky;AK;5;3;3;CO;0;25;0;15;0;30;0;0;0;0;2;0;fresh;
16;Nicky;Nicky;AK;4;6;4;CO;0;24;0;16;0;27;0;0;0;0;0;0;fresh;
17;Nicky;Nicky;UM;6;5;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
18;Nicky;Nicky;RE;1;5;1;CO;0;0;0;1;0;5;0;0;0;0;0;0;fresh;
19;Nicky;Nicky;AK;3;2;2;CO;0;9;0;18;0;34;0;0;0;0;1;0;fresh;
20;Nicky;Nicky;AK;2;4;4;CO;0;12;0;15;0;39;0;0;0;0;1;0;fresh;
21;Nicky;Nicky;UM;4;1;4;CO;0;13;0;13;0;22;0;0;0;0;0;0;fresh;
22;Nicky;Nicky;MU;4;1;3;GD;19;3;26;2;39;1;0;0;0;0;1;1;fresh;
23;Nicky;Nicky;MU;1;5;1;CO;0;25;0;21;0;46;0;0;0;0;2;7;fresh;
24;Nicky;Nicky;AK;4;6;5;CO;0;7;0;0;0;25;0;6;0;0;5;7;fresh;black larvae (30ish)
25;Nicky;Nicky;AK;3;4;5;CO;0;31;0;23;0;46;0;0;0;0;1;0;brown;black larvae (30ish)
26;Nicky;Nicky;UM;6;5;3;GD;11;1;21;3;42;10;0;0;0;0;4;0;fresh;
27;Nicky;Nicky;AK;2;2;4;GD;18;3;24;3;47;6;0;0;0;0;7;0;fresh;
28;Nicky;Nicky;RE;6;3;3;GD;9;2;18;2;34;8;0;0;0;0;2;0;fresh;black larvae (1ish)
29;Nicky;Nicky;UM;5;6;5;GD;13;3;20;1;45;6;0;0;0;0;12;0;fresh;
30;Nicky;Nicky;AK;2;4;3;GD;8;0;7;1;22;3;0;0;0;0;3;0;fresh;
31;Nicky;Nicky;UM;1;4;5;CO;0;20;0;24;0;45;0;0;0;0;0;0;fresh;black larvae (5ish)
32;Nicky;Nicky;AK;2;1;4;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
33;Nicky;Nicky;RE;3;1;1;CO;0;0;0;15;0;27;0;0;0;0;0;0;fresh;
34;Nicky;Nicky;MA;1;5;3;GD;12;4;2;2;9;8;0;0;0;0;0;0;fresh;
35;Nicky;Nicky;UM;6;2;1;CO;0;0;0;61;0;75;0;0;0;0;3;0;fresh;
36;Nicky;Nicky;MA;4;4;4;CO;0;10;0;17;0;42;0;0;0;0;1;0;fresh;
37;Nicky;Nicky;AK;1;6;3;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
